job_title,company,location,preferred_qualifications,minimum_qualifications,url,source
Growth Data Scientist,Notion,Notion (in person company),"['Experience working on a growth team', 'Experience at a fast-growing start-up', 'Experience at a B2B SaaS company']","['Meaningful experience as a data scientist partnering with product and engineering', 'Expertise in SQL and at least one scripting language (Python or R)', 'Ability to use statistical inference and experimentation to drive actionable recommendations', 'Experience building predictive models and evaluating their effectiveness', 'Comfortable transforming raw data to build own data sets', 'Bias for using the right tools efficiently, making tradeoffs between speed and accuracy']",https://www.linkedin.com/jobs/view/data-scientist-growth-at-notion-4143307444,LinkedIn
Product Data Scientist,Notion,San Francisco or New York City,"['Expertise in SQL and at least one scripting language (ideally Python or R)', 'Experience building predictive models and evaluating their effectiveness', 'Comfortable transforming raw data to build own data sets', 'Bias for using the right tools efficiently']","['Meaningful experience as a data scientist partnering with product and engineering teams', 'Ability to use statistical inference and experimentation for actionable recommendations']",https://www.linkedin.com/jobs/view/data-scientist-product-at-notion-4034434518,LinkedIn
Data Scientist - Product Analytics,Brex,San Francisco,"['Experience working in B2B SaaS or fintech', 'Experience in developing frameworks to measure feature adoption and identifying product opportunities that drive customer lifetime value', 'Familiarity with product analytics tools (e.g., Amplitude, StatSig)']","['Master’s degree or Ph.D. in Statistics, Computer Science, Economics, or a related quantitative field', '3+ years of experience in a data science, analytics, or related role focused on product analytics', 'Strong experience with SQL and Python (or R) for data analysis and modeling', 'Proficiency in A/B testing methodologies, causal inference, and predictive modeling', 'Ability to translate complex data insights into strategic business recommendations', 'Familiarity with BI tools (e.g., Tableau, Looker) and data visualization best practices', 'Strong problem-solving skills and the ability to work in a fast-paced, cross-functional environment']",https://www.linkedin.com/jobs/view/data-scientist-ii-at-brex-4190721224,LinkedIn
"Data Scientist II, Credit",Brex,San Francisco,"['Experience working in B2B SaaS or fintech, particularly in a lending environment.', 'Familiarity with risk-based pricing models and financial modeling techniques.', 'Experience working with credit decisioning systems and automated underwriting workflows.', 'Knowledge of regulatory frameworks such as CECL, Basel II/III, or stress testing methodologies.']","['Master’s degree or Ph.D. in Statistics, Economics, Finance, Computer Science, or a related quantitative field.', '3+ years of experience in credit risk analytics, underwriting strategy, or related data science roles in lending or financial services.', 'Strong experience with SQL and Python (or R) for data analysis and modeling.', 'Proficiency in credit risk modeling techniques, including logistic regression, scorecard development, and loss forecasting.', 'Familiarity with credit bureau data, alternative data sources, and regulatory risk considerations.', 'Ability to synthesize complex analyses into actionable business insights and communicate findings to stakeholders.', 'Experience with experimentation and causal inference methodologies.']",https://www.linkedin.com/jobs/view/data-scientist-ii-credit-at-brex-4190719240,LinkedIn
AI/ML Engineer,Ikigai,Ikigai Labs,"[""Master's degree in Computer Science, Math, Engineering, or related field"", 'Experience with big data and distributed computing (Hadoop, MapReduce, Spark, Storm)', 'Experience with Kubernetes and/or EKS', 'Proficiency in Python, AWS services, and ETL/ELT pipelines']","['Bachelor’s degree in Computer Science, Math, Engineering, or related field with 2+ years of experience', 'Strong understanding of data structures, data modeling, algorithms, and software architecture', 'Proficient in probability, statistics, and algorithm development', 'Hands-on experience with ML and deep learning libraries (Scikit Learn, Keras, TensorFlow, PyTorch, Theano, DyLib)', 'Understanding of key software design principles, design patterns, and testing best practices', 'Ability to learn quickly in a fast-paced, agile environment', 'Excellent organizational, time management, and communication skills', 'Willingness to engage in pair programming, share knowledge, and provide and receive constructive feedback', 'Strong problem-solving skills and the ability to take initiative']",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-ikigai-4184821866,LinkedIn
Data Scientist - Community Health,Twitch,"San Francisco, CA","['MS/MA or higher in Analytics, Data Science, Computer Science, Mathematics, or a related technical field', 'Experience in a data science team working on customer software products, analytics, and insights', 'Experience working with software development and operational event data', 'Familiarity with Twitch, either as a viewer or creator (or both!)']","['BA/BS in Analytics, Data Science, Computer Science, Mathematics, or equivalent industry experience', '3+ years of experience as a data scientist or data analyst in a high velocity, data-driven environment', '3+ years of machine learning/statistical modeling data analysis tools and techniques, and parameters that affect their performance experience', 'Expert SQL skills and proficiency in Python/R', 'Experience using data to create insight, drive business decisions and influence leadership']",https://www.linkedin.com/jobs/view/data-scientist-analytics-at-twitch-4102587824,LinkedIn
Data Scientist - Content Safety Platform,Google,United States,"['2 years of work experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis.', 'Familiarity with approaches to evaluate the performance of machine learning classifiers and familiarity with explainable AI techniques.', 'Ability to translate the business objectives in a content classification problem to an evaluation methodology.']","[""Master's degree in Statistics, Mathematics, Physics, Economics, Operations Research, Engineering, or a related quantitative field."", 'Experience in Artificial Intelligence or Machine Learning.', 'Experience coding in Python.']",https://www.linkedin.com/jobs/view/data-scientist-content-safety-platform-at-google-4183425950,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"['Experience in collaborating with individuals and organizations', 'Experience working with large scale dataset', 'Internship experience in solving analytical problems using quantitative approaches']","[""Currently has or is pursuing a Bachelor's and/or Master’s degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta."", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', 'Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment', ""Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.""]",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4187595834,LinkedIn
Machine Learning Engineer,Quantcast,San Francisco,"['Fluency in Python, Java or similar programming languages.', 'Strong skills in mathematics and statistics.', 'Working knowledge of ML algorithms such as classification, control systems, optimization, clustering, LLMs or recommendation systems.', 'An interest in distributed system and software design, concurrent algorithms, data structures, and software engineering.']",['1-3 years of experience'],https://www.linkedin.com/jobs/view/machine-learning-engineer-at-quantcast-4187027078,LinkedIn
Senior Data Scientist - Pricing Team,Lyft,San Francisco,"['Ph.D. in Operations Research or other quantitative fields', '2+ years professional experience in technology companies', 'Proven experience with building and evaluating optimization models', 'Proficiency with Python and working in a production coding environment', 'Passion for solving unstructured and non-standard mathematical problems', 'End-to-end experience with data, including querying, aggregation, analysis, and visualization', 'Strong oral and written communication skills']","['Ph.D. in Operations Research or other quantitative fields or related work experience', '2+ years professional experience in technology companies']",https://www.linkedin.com/jobs/view/data-scientist-algorithms-pricing-at-lyft-4149935409,LinkedIn
"Senior Data Scientist, Product Analytics",Handshake,"San Francisco, with offices in New York, London, and Berlin","['Experience informing product roadmaps', 'Data modeling (we use dbt!)']","['Proven experience in using data to drive product development and decision-making', 'Strong communication and presentation skills', 'Experience conducting exploratory analysis projects', 'Expertise in SQL', 'Experience with A/B testing', 'Experience creating dashboards and visualizations']",https://www.linkedin.com/jobs/view/senior-data-scientist-product-analytics-at-handshake-4096784817,LinkedIn
Machine Learning Researchers (Open-Endedness),Flagship Pioneering,Lila Sciences,"['PhD in quantitative disciplines ideal, but will consider self-taught researchers with exceptional achievements', 'Publications in relevant conferences, such as NeurIPS, ICML, AAAI, ICLR, GECCO, ICCC', 'Expertise in ML frameworks (PyTorch/TensorFlow/Jax); and/or QD algorithm implementation; and/or neuroevolution algorithm implementation', 'Experience in training and deploying ML models on distributed computing services (g. AWS/GCP/Azure, or clusters)']",['Candidates should have experience and/or interest in some or all of the mentioned areas in the job description'],https://www.linkedin.com/jobs/view/machine-learning-researchers-open-endedness-open-level-at-flagship-pioneering-4172905983,LinkedIn
Backend Engineer with Machine Learning Expertise,Kino AI,San Francisco,"['Experience with video processing pipelines or computer vision systems', 'Experience in React', 'Familiarity with GPU infrastructure and optimization (CUDA!)', 'Knowledge of media formats, codecs, and streaming protocols', 'Experience with LLMs, LLM-based retrieval, and LLM evals', 'Strong work with the OpenAI/Anthropic/Gemini APIs', 'Comfort with any of the major cloud providers: Azure, GCP, AWS, etc.', 'Background in search systems or information retrieval']","['3+ years of backend engineering and machine learning experience', 'Demonstrated expertise in Python', 'Building and deploying services using Docker and Docker Compose', 'Writing and optimizing complex SQL queries', 'Experience benchmarking and profiling API endpoints', 'Implementing robust monitoring, logging, and error handling', 'Proficiency in Python and experience with Pytorch or JAX', 'Comfort with large amounts of data (e.g., terabytes of video)', 'Comfort with web development', 'Ability to rapidly iterate on ideas and evaluate new approaches']",https://www.linkedin.com/jobs/view/backend-%2B-ml-engineer-at-kino-ai-4153684130,LinkedIn
Data Science Analyst - YouTube Search Verticals,Google,United States,"['5 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree.', 'PhD degree in Statistics, Data Science, Machine Learning, or, Physics, or, 3 years of work experience.']","[""Master's degree in Statistics, Data Science, Mathematics, Physics, Economics, Operations Research, Engineering, or a related quantitative field."", '3 years of experience using analytics to solve product or business problems, coding (e.g., Python, R, SQL), querying databases or statistical analysis, or a PhD degree.']",https://www.linkedin.com/jobs/view/research-data-scientist-youtube-search-at-google-4184342707,LinkedIn
Applied Data Scientist,Comulate,San Francisco,"['3+ years experience leveraging data-driven analysis and predictive modeling to drive key business decisions', 'Proficiency with SQL and relational databases', 'Contributed to predictive systems in a production environment', 'Excellent written and verbal communication skills; ability to clearly explain your work and collaborate with stakeholders', 'Comfortable with handling ambiguity and working in a self-directed manner', 'Curiosity about different industries and the data + business context within them']",[],https://www.linkedin.com/jobs/view/applied-data-scientist-at-comulate-4189607208,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","['A minimum of 6 years of work experience in analytics (minimum of 4 years with a Ph.D.)', ""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience"", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4181335965,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"[""Master's or Ph.D. Degree in a quantitative field""]","[""Bachelor's degree in Mathematics, Statistics, a relevant technical field, or equivalent"", '2+ years of work experience in analytics and data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', '2+ years of experience solving analytical problems using quantitative approaches, understanding ecosystems, user behaviors & long-term product trends, and leading data-driven projects from definition to execution [including defining metrics, experiment, design, communicating actionable insights]']",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4152204588,LinkedIn
ML Engineer,Navier AI,San Francisco,"['Familiarity with PyTorch', 'Experience with transformer architectures', 'Expertise in deep learning for scientific computing', 'Proficiency in Python and scientific computing libraries', 'Experience in model designing', 'Familiarity with neural operators, PINNs, and INRs', 'Background in physics or computational engineering', 'Experience with large-scale model training and optimization', 'Open-source contributions to major projects', 'Published research in ML for physics/engineering']",[],https://www.linkedin.com/jobs/view/ml-engineer-at-navier-ai-4136724492,LinkedIn
ML Engineer,Wispr Flow,Wispr Flow,"['Deep understanding of LLMs and transformer-based architectures', 'Experience in ML inference, multi-modal models, RL / DPO, fine-tuning, audio, async programming, low-level systems, data pipelines', 'Published seminal research / have a PhD', 'Large-scale and high-load production systems', 'Implementation of advanced methods for efficient fine-tuning', 'Maintaining or contributing to open-source ML projects', 'Managing machine learning workloads on Kubernetes clusters']","['Expertise in Python (2+ years)', 'Experience with ML / scientific frameworks: TensorFlow, Keras, Numpy, Scipy, Pandas', 'Love to build (no academic degree requirements)']",https://www.linkedin.com/jobs/view/ml-engineer-at-wispr-flow-4174763066,LinkedIn
"Data Scientist, Product Analytics",Meta,Meta,"['Experience in collaborating with individuals and organizations', 'Experience working with large scale dataset', 'Internship experience in solving analytical problems using quantitative approaches']","[""Currently has or is pursuing a Bachelor's and/or Master’s degree in Mathematics, Statistics, a relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta."", 'Experience with data querying languages (e.g. SQL), scripting languages (e.g. Python), and/or statistical/mathematical software (e.g. R)', 'Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment', ""Currently has, or is in the process of obtaining a Bachelor's degree in Computer Science, Computer Engineering, relevant technical field, or equivalent practical experience. Degree must be completed prior to joining Meta.""]",https://www.linkedin.com/jobs/view/data-scientist-product-analytics-at-meta-4187594996,LinkedIn
Data Scientist,Google,"['Sunnyvale, CA, USA', 'Boulder, CO, USA', 'Kirkland, WA, USA', 'New York, NY, USA', 'San Francisco, CA, USA', 'Waterloo, ON, Canada', 'Los Angeles, CA, USA', 'Seattle, WA, USA']","[""Master's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field."", '12 years of experience solving product or business problems, performing statistical analysis, and coding (e.g., Python, R, SQL).', 'Experience in extracting large sets of data with SQL and in designing ETL flows.', 'Experience working with Developers and Product Managers, especially around providing product-centric insights.', 'Track record of solving unstructured business problems with data science, translating results into impactful business recommendations, and measuring the success of those initiatives.']","[""Bachelor's degree in Statistics, Mathematics, Data Science, Engineering, Physics, Economics, or a related quantitative field."", ""13 years of work experience using analytics to solve product or business problems, performing statistical analysis, and coding (e.g., Python, R, SQL) (or 10 years work experience and a Master's degree).""]",https://www.linkedin.com/jobs/view/data-scientist-gmail-and-chat-ai-model-quality-at-google-4165758376,LinkedIn
Data Scientist,Akkodis,"SFO, CA (Remote)","['4+ years of experience in data science, data engineering, and full-stack data development.', 'Experience handling large-scale datasets and working on data pipelines, reporting, and project-based work.', 'Data visualization experience (Tableau, Data Bricks, Superset; No Power BI or Looker).', 'Ability to work with financial data and conduct competitive analysis.', 'Strong analytical mindset with the ability to navigate ambiguous problems and translate data into business insights.']",['Strong SQL and Python proficiency.'],https://www.linkedin.com/jobs/view/data-scientist-at-akkodis-4177147428,LinkedIn
